,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms
5723,20575455,1,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,60.0,91,4,6,0.09,1.0
5724,20575616,0,1,Estrella,Retiro,Private room in apartment,Private room,1.0,1.0,16.0,0,5,1,0.11,1.0
5725,20575667,1,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,50.0,91,6,6,0.14,1.0
5726,20575760,1,1,Palacio,Centro,Private room in apartment,Private room,1.0,2.0,50.0,0,3,6,0.07,1.0
5727,20575821,1,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,50.0,91,4,6,0.09,1.0
5728,20576514,0,1,Palomeras Sureste,Puente de Vallecas,Private room in apartment,Private room,1.0,2.0,15.0,0,0,1,0.0,1.0
5729,20577525,0,1,Piovera,Hortaleza,Room in hotel,Private room,1.0,1.0,19.0,365,331,26,7.48,1.0
5731,20577647,0,1,Piovera,Hortaleza,Private room in hostel,Private room,1.0,1.0,15.0,361,413,26,9.32,1.0
5733,20579678,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,5.0,182.0,182,121,20,2.76,2.0
5734,20579951,1,1,Cortes,Centro,Entire house,Entire home/apt,2.0,5.0,160.0,165,13,1,0.68,1.0
5736,20585866,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,56.0,302,183,1,4.19,1.0
5737,20587871,0,0,San Isidro,Carabanchel,Private room in apartment,Private room,1.0,1.0,28.0,364,73,1,1.67,1.0
5738,20594614,1,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,167.0,0,5,62,0.13,2.0
5739,20594717,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,71.0,0,164,1,3.94,1.0
5740,20595974,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,7.0,169.0,233,112,1,2.54,2.0
5741,20598895,0,1,El Goloso,Fuencarral - El Pardo,Private room in apartment,Private room,1.0,1.0,44.0,0,6,1,0.14,1.0
5742,20599691,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,70.0,3,93,5,2.12,2.0
5743,20604416,0,1,Universidad,Centro,Shared room in house,Shared room,1.0,1.0,15.0,365,28,24,0.65,2.0
5744,20604596,0,1,Universidad,Centro,Shared room in house,Shared room,1.0,1.0,17.0,365,23,24,0.53,2.0
5745,20604759,0,1,Universidad,Centro,Shared room in house,Shared room,1.0,1.0,17.0,362,21,24,0.48,2.0
5746,20604864,0,1,Universidad,Centro,Shared room in house,Shared room,1.0,1.0,17.0,365,20,24,0.46,2.0
5747,20611109,0,0,Embajadores,Centro,Shared room in apartment,Shared room,1.0,1.0,35.0,0,0,1,0.0,1.0
5748,20611507,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,40.0,83,276,2,6.29,1.0
5749,20613316,0,0,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,28.0,364,5,2,0.11,1.0
5750,20617899,1,1,Pacífico,Retiro,Entire apartment,Entire home/apt,1.0,1.0,56.0,121,136,3,3.23,1.0
5751,20620197,0,0,Fontarrón,Moratalaz,Private room in apartment,Private room,1.0,1.0,15.0,0,36,2,0.82,1.0
5752,20630277,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,55.0,0,77,5,1.76,1.0
5754,20635529,1,1,Concepción,Ciudad Lineal,Entire loft,Entire home/apt,1.0,2.0,66.0,89,11,11,0.26,1.0
5755,20639017,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,85.0,180,9,3,0.21,1.0
5756,20643757,0,1,Palos de Moguer,Arganzuela,Private room in apartment,Private room,2.0,2.0,70.0,0,28,1,0.64,1.0
5757,20644533,0,1,Cortes,Centro,Private room in apartment,Private room,1.0,0.0,45.0,0,25,3,0.57,1.0
5758,20644854,0,0,Imperial,Arganzuela,Private room in apartment,Private room,1.0,1.0,30.0,0,1,1,0.02,1.0
5759,20649119,0,0,Cuatro Caminos,Tetuán,Entire house,Entire home/apt,1.0,1.0,150.0,179,0,1,0.0,1.0
5761,20650577,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,2.0,68.0,340,182,23,4.14,1.0
5762,20658752,0,1,Guindalera,Salamanca,Private room in apartment,Private room,1.0,2.0,35.0,318,53,1,1.2,1.0
5763,20663854,1,1,Ibiza,Retiro,Entire apartment,Entire home/apt,3.0,3.0,132.0,344,81,19,1.85,2.0
5764,20663949,0,1,Entrevías,Puente de Vallecas,Private room in apartment,Private room,1.0,1.0,16.0,0,219,2,4.96,1.0
5765,20669149,0,1,Almagro,Chamberí,Private room in apartment,Private room,1.0,1.0,35.0,90,3,8,0.14,1.5
5766,20670406,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,58.0,117,173,1,3.97,1.0
5767,20676873,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,60.0,105,120,2,2.74,1.0
5768,20677597,1,1,Adelfas,Retiro,Private room in apartment,Private room,1.0,1.0,30.0,0,31,1,0.71,1.0
5769,20680975,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,69.0,0,24,1,0.56,1.0
5770,20682061,0,0,Cármenes,Latina,Private room in guesthouse,Private room,3.0,1.0,13.0,362,0,1,0.0,1.0
5771,20683915,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,69.0,0,37,1,0.85,1.0
5772,20688837,0,0,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,65.0,0,3,1,0.07,1.0
5773,20689816,0,0,Comillas,Carabanchel,Entire house,Entire home/apt,1.0,1.0,39.0,362,9,1,0.21,1.0
5775,20690853,0,0,Moscardó,Usera,Entire place,Entire home/apt,2.0,1.0,118.0,271,0,1,0.0,1.0
5776,20691543,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,70.0,156,153,25,3.47,1.0
5777,20694997,0,0,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,30.0,0,3,1,0.07,1.0
5778,20697572,0,0,Justicia,Centro,Entire loft,Entire home/apt,2.0,2.0,140.0,90,97,1,2.35,2.0
5779,20700087,0,0,Timón,Barajas,Private room in apartment,Private room,1.0,1.0,26.0,0,1,1,0.02,1.0
5780,20701783,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,3.0,69.0,342,168,1,3.85,2.0
5781,20702294,0,0,Adelfas,Retiro,Entire apartment,Entire home/apt,2.0,4.0,60.0,0,0,1,0.0,1.0
5783,20706300,1,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,75.0,319,138,3,3.2,1.0
5784,20706491,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,131.0,0,103,9,2.36,1.0
5785,20706613,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,3.0,86.0,143,126,3,2.86,2.0
5786,20707190,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,52.0,107,124,88,2.85,1.0
5787,20707974,1,1,Casco Histórico de Barajas,Barajas,Private room in apartment,Private room,1.0,2.0,40.0,176,361,5,8.24,1.5
5788,20710885,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,109.0,362,131,1,2.99,1.0
5789,20715494,0,1,Aluche,Latina,Private room in apartment,Private room,1.0,1.0,22.0,181,3,2,0.11,1.0
5790,20715773,0,1,Fuente del Berro,Salamanca,Private room in apartment,Private room,1.0,1.0,18.0,163,5,1,0.11,2.0
5791,20726114,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,0.0,36.0,61,111,2,2.53,1.0
5792,20733548,0,0,Rios Rosas,Chamberí,Private room in apartment,Private room,1.0,1.0,19.0,0,2,1,0.05,1.0
5793,20733592,0,0,Universidad,Centro,Private room in serviced apartment,Private room,1.0,1.0,38.0,179,3,2,0.07,1.0
5794,20734742,0,1,Pacífico,Retiro,Private room in apartment,Private room,1.0,1.0,12.0,0,1,1,0.02,1.0
5795,20736283,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,24.0,0,56,1,1.29,1.0
5796,20736474,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,3.0,177.0,0,1,43,0.02,2.0
5797,20736724,1,1,Ibiza,Retiro,Private room in house,Private room,1.0,1.0,18.0,340,46,4,1.04,1.0
5799,20740624,0,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,38.0,113,135,1,3.08,1.0
5800,20746314,0,0,Prosperidad,Chamartín,Private room in apartment,Private room,1.0,1.0,25.0,88,4,2,0.09,1.5
5801,20751573,1,0,Sol,Centro,Entire apartment,Entire home/apt,2.0,4.0,95.0,44,77,2,1.76,1.0
5802,20756752,1,1,Simancas,San Blas - Canillejas,Private room in apartment,Private room,1.0,1.0,15.0,43,60,3,1.36,1.0
5803,20757141,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,2.0,34.0,78,64,2,1.45,1.0
5804,20759866,0,0,Comillas,Carabanchel,Private room in house,Private room,1.0,1.0,20.0,0,0,1,0.0,1.0
5805,20766400,0,1,Trafalgar,Chamberí,Private room in condominium,Private room,1.0,1.0,37.0,0,9,1,0.21,2.0
5806,20767452,0,0,Palomeras Bajas,Puente de Vallecas,Entire apartment,Entire home/apt,2.0,2.0,25.0,0,3,2,0.07,1.0
5807,20770882,0,1,Guindalera,Salamanca,Private room in apartment,Private room,1.0,1.0,19.0,98,70,1,1.6,1.0
5808,20770894,0,1,Cortes,Centro,Private room in apartment,Private room,1.0,3.0,27.0,328,1,22,0.03,1.0
