,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms
18726,47880421,0,1,Arapiles,Chamberí,Entire apartment,Entire home/apt,3.0,3.0,150.0,84,0,163,0.0,2.0
18727,47881356,0,1,Palacio,Centro,Entire apartment,Entire home/apt,3.0,5.0,130.0,275,0,163,0.0,2.0
18728,47881575,0,1,Cortes,Centro,Private room in guest suite,Private room,10.0,10.0,36.0,180,0,4,0.0,10.0
18729,47882504,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,89.0,291,0,163,0.0,1.0
18730,47882505,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,6.0,163.0,323,0,163,0.0,2.0
18731,47882506,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,7.0,189.0,297,0,163,0.0,2.0
18732,47882507,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,4.0,146.0,282,0,163,0.0,2.0
18733,47882509,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,4.0,104.0,355,0,163,0.0,2.0
18734,47882510,0,1,Lista,Salamanca,Entire apartment,Entire home/apt,2.0,6.0,112.0,354,3,163,2.05,2.0
18735,47882512,0,1,Justicia,Centro,Entire apartment,Entire home/apt,3.0,4.0,157.0,211,1,163,1.0,1.5
18736,47882514,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,84.0,174,3,163,3.0,2.0
18737,47882515,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,6.0,150.0,349,1,163,0.58,2.0
18738,47883450,0,1,Justicia,Centro,Entire apartment,Entire home/apt,2.0,3.0,91.0,85,0,163,0.0,1.0
18739,47883452,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,86.0,146,1,163,0.94,1.0
18740,47883453,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,3.0,91.0,329,3,163,1.2,1.0
18741,47883456,0,1,Cortes,Centro,Entire apartment,Entire home/apt,3.0,5.0,177.0,350,2,163,0.82,2.0
18742,47883460,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,4.0,91.0,348,3,163,2.57,2.0
18743,47883462,0,1,Cortes,Centro,Entire apartment,Entire home/apt,3.0,5.0,143.0,355,1,163,1.0,2.0
18744,47883463,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,73.0,36,1,163,0.94,1.0
18745,47883465,0,1,Arapiles,Chamberí,Entire apartment,Entire home/apt,2.0,3.0,88.0,358,4,163,1.62,1.0
18746,47883467,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,83.0,269,0,163,0.0,1.0
18747,47883468,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,101.0,177,0,163,0.0,1.0
18749,47883471,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,81.0,195,0,163,0.0,1.0
18750,47883472,0,1,Cortes,Centro,Entire apartment,Entire home/apt,3.0,3.0,170.0,238,0,163,0.0,2.0
18751,47883473,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,5.0,180.0,339,0,163,0.0,2.0
18753,47883477,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,5.0,183.0,286,0,163,0.0,1.0
18755,47883479,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,94.0,269,0,163,0.0,1.0
18756,47883481,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,4.0,69.0,299,0,163,0.0,2.0
18757,47883483,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,94.0,259,0,163,0.0,1.0
18758,47883484,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,4.0,84.0,265,0,163,0.0,2.0
18759,47883487,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,119.0,334,4,163,3.64,2.0
18760,47883488,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,127.0,345,4,163,4.0,1.0
18761,47883489,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,119.0,291,0,163,0.0,1.0
18762,47883490,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,7.0,163.0,365,0,163,0.0,2.0
18763,47883491,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,7.0,207.0,147,0,163,0.0,2.0
18764,47883492,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,7.0,209.0,328,0,163,0.0,2.0
18765,47883493,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,7.0,207.0,325,0,163,0.0,2.0
18766,47883494,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,5.0,156.0,338,0,163,0.0,2.0
18767,47883495,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,6.0,163.0,327,0,163,0.0,2.0
18768,47883496,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,6.0,163.0,313,0,163,0.0,2.0
18769,47883497,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,79.0,191,0,163,0.0,1.0
18771,47883500,0,1,Almagro,Chamberí,Entire apartment,Entire home/apt,2.0,2.0,89.0,268,0,163,0.0,1.0
18772,47883501,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,3.0,122.0,315,0,163,0.0,2.0
18773,47883503,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,5.0,118.0,341,0,163,0.0,2.0
18774,47883504,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,147.0,0,0,163,0.0,1.0
18775,47883505,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,4.0,148.0,207,0,163,0.0,1.0
18776,47883508,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,5.0,173.0,328,0,163,0.0,2.0
18777,47883510,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,4.0,107.0,354,3,163,2.2,2.0
18779,47883513,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,3.0,97.0,344,2,163,1.2,1.5
18780,47883514,0,1,Arapiles,Chamberí,Entire apartment,Entire home/apt,2.0,3.0,93.0,85,0,163,0.0,2.0
18781,47883515,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,4.0,82.0,276,4,163,3.64,2.0
18782,47883516,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,76.0,361,3,163,1.27,1.0
18783,47883519,0,1,Cortes,Centro,Entire apartment,Entire home/apt,3.0,5.0,141.0,269,0,163,0.0,1.0
18784,47883522,0,1,Goya,Salamanca,Entire apartment,Entire home/apt,2.0,4.0,102.0,269,0,163,0.0,2.0
18785,47883523,0,1,Goya,Salamanca,Entire apartment,Entire home/apt,3.0,5.0,175.0,290,0,163,0.0,2.0
18786,47883524,0,1,Ibiza,Retiro,Entire apartment,Entire home/apt,2.0,4.0,80.0,364,1,163,1.0,1.0
18787,47883526,0,1,Guindalera,Salamanca,Entire apartment,Entire home/apt,2.0,4.0,82.0,340,2,163,1.5,2.0
18788,47883527,0,1,Goya,Salamanca,Entire apartment,Entire home/apt,1.0,3.0,67.0,364,2,163,1.33,1.0
18802,47883544,0,1,Fuente del Berro,Salamanca,Entire apartment,Entire home/apt,2.0,4.0,78.0,350,3,163,1.61,2.0
18803,47883545,0,1,Lista,Salamanca,Entire apartment,Entire home/apt,2.0,6.0,87.0,272,0,163,0.0,2.0
18804,47883546,0,1,Fuente del Berro,Salamanca,Entire apartment,Entire home/apt,2.0,6.0,88.0,176,1,163,0.5,2.0
18805,47883547,0,1,Fuente del Berro,Salamanca,Entire apartment,Entire home/apt,2.0,8.0,118.0,361,0,163,0.0,2.0
18806,47883548,0,1,Guindalera,Salamanca,Entire apartment,Entire home/apt,2.0,7.0,111.0,365,0,163,0.0,2.0
18807,47883549,0,1,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,4.0,79.0,359,3,163,3.0,1.0
18808,47883550,0,1,Goya,Salamanca,Entire apartment,Entire home/apt,1.0,3.0,77.0,358,2,163,0.86,1.0
18809,47883551,0,1,Palacio,Centro,Entire apartment,Entire home/apt,3.0,4.0,134.0,85,0,163,0.0,1.0
18810,47883552,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,4.0,97.0,328,0,163,0.0,2.0
18811,47883558,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,4.0,7.0,205.0,297,0,163,0.0,2.0
18812,47883560,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,80.0,365,2,163,1.76,1.5
18813,47883561,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,93.0,1,1,163,0.4,1.0
18814,47883565,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,91.0,195,5,163,2.54,1.0
18815,47883567,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,102.0,0,0,163,0.0,2.0
18816,47883568,0,1,Guindalera,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,87.0,280,3,163,1.91,1.0
18820,47883574,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,102.0,353,7,163,2.84,2.0
18822,47883577,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,100.0,1,0,163,0.0,2.0
18823,47883578,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,100.0,348,9,163,3.6,2.0
18824,47883579,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,92.0,343,1,163,1.0,2.0
18825,47883580,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,87.0,359,1,163,1.0,2.0
18826,47883581,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,74.0,365,1,163,1.0,1.0
18827,47884465,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,4.0,98.0,238,0,163,0.0,1.0
18828,47884467,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,91.0,311,1,163,0.44,1.0
18829,47884469,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,76.0,362,4,163,1.64,1.0
18830,47884470,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,118.0,193,0,163,0.0,2.0
18831,47884471,0,1,Palacio,Centro,Entire apartment,Entire home/apt,3.0,5.0,125.0,354,0,163,0.0,2.0
18832,47884472,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,5.0,155.0,339,0,163,0.0,2.0
18833,47884473,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,5.0,174.0,269,0,163,0.0,2.0
18834,47884476,0,1,Cuatro Caminos,Tetuán,Entire apartment,Entire home/apt,1.0,1.0,79.0,337,2,163,0.81,1.0
18835,47884477,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,91.0,339,4,163,1.97,1.0
18836,47884479,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,76.0,365,1,163,1.0,1.0
18837,47884481,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,91.0,352,4,163,2.35,1.0
18838,47884482,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,97.0,280,2,163,2.0,1.0
18839,47884484,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,87.0,324,4,163,1.67,1.0
18840,47884485,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,85.0,357,2,163,2.0,1.0
18841,47884486,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,101.0,296,2,163,1.11,1.0
18842,47884487,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,4.0,112.0,269,0,163,0.0,1.0
18843,47884488,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,4.0,90.0,362,0,163,0.0,2.0
18844,47884489,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,4.0,110.0,0,0,163,0.0,2.0
18845,47884490,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,4.0,111.0,277,0,163,0.0,2.0
18846,47884491,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,4.0,111.0,313,0,163,0.0,2.0
18847,47884492,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,4.0,112.0,238,0,163,0.0,2.0
18848,47884493,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,3.0,6.0,177.0,259,0,163,0.0,2.0
18849,47884495,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,3.0,6.0,174.0,296,0,163,0.0,2.0
18851,47884499,0,1,Sol,Centro,Entire apartment,Entire home/apt,3.0,4.0,185.0,365,0,163,0.0,2.0
18852,47884501,0,1,Sol,Centro,Entire apartment,Entire home/apt,3.0,4.0,187.0,282,0,163,0.0,2.0
18853,47884503,0,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,76.0,361,0,163,0.0,1.0
18854,47884504,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,3.0,81.0,360,2,163,1.4,1.0
18856,47884506,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,92.0,298,0,163,0.0,2.0
18857,47884508,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,92.0,355,5,163,2.0,2.0
18858,47884510,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,74.0,365,1,163,1.0,1.0
18860,47884516,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,179.0,351,2,62,1.71,1.0
18861,47885627,0,1,Cortes,Centro,Private room in guesthouse,Private room,1.0,2.0,27.0,90,0,29,0.0,0.0
18863,47886350,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,55.0,312,0,12,0.0,1.0
18864,47895366,0,1,Casco Histórico de Vallecas,Villa de Vallecas,Private room in condominium,Private room,1.0,1.0,18.0,227,1,2,0.71,1.0
18865,47895370,0,1,Palomeras Sureste,Puente de Vallecas,Private room in condominium,Private room,2.0,4.0,16.0,242,0,2,0.0,1.5
18867,47896255,0,1,Fuente del Berro,Salamanca,Private room in apartment,Private room,1.0,1.0,29.0,0,0,1,0.0,1.0
18869,47897191,0,1,Justicia,Centro,Private room in hostel,Private room,1.0,2.0,24.0,177,10,10,4.23,1.0
18870,47897389,0,1,Moscardó,Usera,Entire apartment,Entire home/apt,2.0,3.0,46.0,170,6,6,2.73,1.0
18871,47897941,0,1,Cuatro Caminos,Tetuán,Entire apartment,Entire home/apt,2.0,6.0,80.0,0,0,1,0.0,1.5
18872,47898385,0,0,Sol,Centro,Entire serviced apartment,Entire home/apt,1.0,1.0,122.0,349,1,5,1.0,1.0
18873,47898421,0,0,Palacio,Centro,Entire serviced apartment,Entire home/apt,1.0,1.0,142.0,348,0,5,0.0,1.0
18874,47898474,0,0,Sol,Centro,Entire serviced apartment,Entire home/apt,1.0,1.0,167.0,349,0,5,0.0,1.0
18875,47898495,0,0,Palacio,Centro,Entire serviced apartment,Entire home/apt,1.0,3.0,187.0,349,0,5,0.0,1.0
18876,47899208,0,1,Lucero,Latina,Private room in apartment,Private room,2.0,3.0,190.0,180,0,2,0.0,2.0
18877,47899948,1,1,Embajadores,Centro,Private room in hostel,Private room,1.0,1.0,19.0,104,0,12,0.0,1.0
18878,47900071,1,1,Embajadores,Centro,Private room in hostel,Private room,1.0,1.0,21.0,104,0,12,0.0,1.0
18879,47900181,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,188.0,364,0,62,0.0,2.0
18880,47900884,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,61.0,223,0,14,0.0,2.0
18881,47901445,0,0,Palacio,Centro,Room in hotel,Private room,1.0,2.0,80.0,245,0,1,0.0,1.0
18882,47901684,0,1,Cortes,Centro,Private room in guest suite,Private room,4.0,8.0,49.0,180,1,4,0.56,4.0
18883,47901758,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,70.0,226,0,14,0.0,2.0
18884,47901954,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,65.0,251,0,14,0.0,2.0
18885,47902121,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,74.0,215,0,14,0.0,2.0
18886,47902319,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,60.0,185,0,14,0.0,2.0
18887,47902470,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,70.0,215,0,14,0.0,2.0
18888,47902694,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,1.0,1.0,70.0,94,2,1,0.88,1.5
18889,47903373,0,1,Cortes,Centro,Private room in guesthouse,Private room,1.0,1.0,26.0,90,0,29,0.0,1.0
18890,47903547,0,1,Cortes,Centro,Private room in guest suite,Private room,1.0,1.0,29.0,180,0,4,0.0,1.0
18891,47904700,1,1,Casco Histórico de Barajas,Barajas,Entire apartment,Entire home/apt,2.0,2.0,75.0,355,4,5,2.18,1.0
18892,47904897,0,1,San Diego,Puente de Vallecas,Entire apartment,Entire home/apt,1.0,2.0,83.0,361,1,40,0.44,1.0
18894,47908225,0,1,Moscardó,Usera,Entire apartment,Entire home/apt,1.0,2.0,40.0,175,3,6,1.43,1.0
18895,47914342,0,1,Moscardó,Usera,Entire apartment,Entire home/apt,2.0,3.0,46.0,165,3,6,2.25,1.0
18896,47915297,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,3.0,77.0,186,0,3,0.0,1.0
18898,47915506,0,1,Moscardó,Usera,Entire apartment,Entire home/apt,1.0,2.0,38.0,174,5,6,2.21,1.0
18899,47915999,0,1,Moscardó,Usera,Entire apartment,Entire home/apt,2.0,3.0,41.0,172,4,6,1.76,1.0
18900,47919473,0,1,Goya,Salamanca,Entire apartment,Entire home/apt,3.0,4.0,196.0,160,0,25,0.0,2.5
18901,47921071,0,1,Justicia,Centro,Private room in apartment,Private room,1.0,2.0,25.0,365,0,3,0.0,1.0
18903,47924037,0,1,Cortes,Centro,Private room in guest suite,Private room,1.0,1.0,29.0,180,0,4,0.0,1.0
18905,47930152,0,0,Sol,Centro,Private room in apartment,Private room,1.0,3.0,43.0,349,1,2,0.71,1.0
18906,47930718,0,1,Imperial,Arganzuela,Entire apartment,Entire home/apt,1.0,1.0,36.0,327,0,40,0.0,1.0
18907,47931330,0,1,Prosperidad,Chamartín,Entire apartment,Entire home/apt,1.0,1.0,40.0,180,0,1,0.0,1.0
18908,47931462,0,1,Concepción,Ciudad Lineal,Entire apartment,Entire home/apt,2.0,4.0,76.0,85,1,1,0.57,1.0
18909,47932944,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,61.0,246,0,14,0.0,2.0
18910,47933110,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,60.0,250,0,14,0.0,2.0
18911,47933761,0,1,Cuatro Caminos,Tetuán,Entire apartment,Entire home/apt,2.0,3.0,75.0,44,0,1,0.0,1.5
18912,47934681,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,2.0,63.0,87,0,14,0.0,2.0
18913,47934766,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,2.0,70.0,92,0,14,0.0,2.0
18914,47935802,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,60.0,251,0,14,0.0,2.0
18916,47936053,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,3.0,5.0,91.0,239,0,14,0.0,3.0
18917,47936837,0,0,Hispanoamérica,Chamartín,Private room in apartment,Private room,1.0,1.0,27.0,305,2,1,0.8,1.0
18918,47936891,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,134.0,352,2,5,1.82,2.0
18921,47947702,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,32.0,90,3,18,1.91,1.0
18922,47947842,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,32.0,83,4,18,2.4,1.0
18923,47947891,0,1,San Diego,Puente de Vallecas,Entire apartment,Entire home/apt,2.0,4.0,47.0,343,0,11,0.0,1.0
18924,47949255,1,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,1.0,58.0,339,17,3,7.39,1.0
18925,47950055,1,1,Imperial,Arganzuela,Entire apartment,Entire home/apt,1.0,1.0,70.0,241,2,10,1.71,1.0
18926,47950265,0,1,Guindalera,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,71.0,348,0,163,0.0,1.0
18927,47951602,0,1,Ventas,Ciudad Lineal,Entire apartment,Entire home/apt,1.0,1.0,30.0,0,0,1,0.0,1.0
18928,47952434,0,1,Ciudad Universitaria,Moncloa - Aravaca,Private room in house,Private room,2.0,3.0,40.0,90,0,1,0.0,2.0
18929,47953891,0,1,Pueblo Nuevo,Ciudad Lineal,Tiny house,Entire home/apt,1.0,2.0,45.0,336,1,1,1.0,1.0
18930,47954675,0,1,Justicia,Centro,Private room in apartment,Private room,1.0,1.0,30.0,365,0,3,0.0,2.0
18931,47959972,0,1,Fontarrón,Moratalaz,Private room in apartment,Private room,1.0,1.0,20.0,181,0,1,0.0,1.5
18932,47966595,0,0,Nueva España,Chamartín,Shared room in apartment,Shared room,1.0,2.0,15.0,365,0,1,0.0,1.0
18934,47970566,0,1,Valdeacederas,Tetuán,Entire apartment,Entire home/apt,1.0,2.0,45.0,0,0,1,0.0,1.0
18935,47972331,0,0,Nueva España,Chamartín,Private room in apartment,Private room,1.0,1.0,50.0,365,0,1,0.0,1.5
18936,47974815,0,1,Guindalera,Salamanca,Entire apartment,Entire home/apt,3.0,3.0,190.0,180,0,1,0.0,2.0
18937,47976644,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,42.0,76,3,1,2.43,1.0
18938,47976814,0,1,Goya,Salamanca,Entire apartment,Entire home/apt,1.0,1.0,60.0,0,0,1,0.0,1.0
18939,47977239,0,0,Prosperidad,Chamartín,Entire apartment,Entire home/apt,1.0,1.0,60.0,261,0,1,0.0,1.0
18940,47978210,0,0,Pueblo Nuevo,Ciudad Lineal,Private room in house,Private room,1.0,1.0,20.0,83,0,1,0.0,1.0
18941,47983973,1,1,Sol,Centro,Entire serviced apartment,Entire home/apt,3.0,3.0,125.0,157,0,20,0.0,2.0
18942,47984638,1,1,Sol,Centro,Entire serviced apartment,Entire home/apt,4.0,4.0,89.0,320,0,20,0.0,2.5
18943,47985035,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,35.0,87,0,18,0.0,1.5
18944,47986418,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,42.0,315,0,1,0.0,1.0
18945,47986920,1,1,Sol,Centro,Entire serviced apartment,Entire home/apt,3.0,3.0,76.0,125,0,20,0.0,2.0
18946,47987118,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,3.0,144.0,310,1,113,0.75,1.0
18947,47987438,0,1,Palacio,Centro,Private room in apartment,Private room,1.0,0.0,20.0,1,0,1,0.0,1.0
18949,47988323,0,1,Ibiza,Retiro,Entire serviced apartment,Entire home/apt,2.0,3.0,197.0,223,1,25,1.0,2.0
18950,47989628,0,1,Palacio,Centro,Entire condominium,Entire home/apt,1.0,1.0,65.0,362,0,1,0.0,1.0
18951,47989667,1,0,Goya,Salamanca,Entire apartment,Entire home/apt,3.0,4.0,195.0,140,11,1,4.58,3.0
18952,47991095,0,0,Sol,Centro,Entire apartment,Entire home/apt,1.0,1.0,43.0,357,2,1,1.28,1.0
18953,47997070,1,1,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,1.0,19.0,356,3,1,1.96,1.5
18954,48000358,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,40.0,79,1,1,0.64,1.5
18955,48003148,1,1,Sol,Centro,Entire serviced apartment,Entire home/apt,3.0,3.0,70.0,0,0,20,0.0,1.5
18956,48005987,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,37.0,0,6,18,2.65,1.5
18957,48006635,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,35.0,365,0,4,0.0,1.0
18958,48007717,0,1,Rios Rosas,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,194.0,272,1,3,1.0,1.0
18960,48013035,0,1,Goya,Salamanca,Shared room in condominium,Shared room,1.0,1.0,20.0,0,0,2,0.0,1.5
18961,48021422,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,5.0,210.0,214,0,7,0.0,2.5
18962,48021429,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,3.0,167.0,347,2,2,2.0,1.0
18963,48021561,0,1,Ibiza,Retiro,Entire apartment,Entire home/apt,2.0,2.0,110.0,345,0,7,0.0,1.0
18964,48022204,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,2.0,70.0,343,0,1,0.0,2.0
18965,48023175,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,52.0,189,2,28,0.86,1.0
18966,48023243,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,5.0,189.0,177,0,163,0.0,1.0
18967,48023244,0,1,Rios Rosas,Chamberí,Entire apartment,Entire home/apt,3.0,5.0,149.0,228,0,163,0.0,2.0
18973,48027260,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,0.0,38.0,354,10,11,4.92,1.5
18975,48027885,0,1,Cortes,Centro,Entire loft,Entire home/apt,1.0,2.0,76.0,363,3,2,2.73,1.0
18976,48028648,0,1,Puerta del Angel,Latina,Entire apartment,Entire home/apt,2.0,3.0,52.0,243,0,3,0.0,1.0
18977,48028903,0,0,Almagro,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,55.0,104,0,1,0.0,1.0
18978,48035284,0,1,Puerta del Angel,Latina,Private room in house,Private room,1.0,1.0,20.0,250,1,3,1.0,1.0
18979,48035408,0,1,Puerta del Angel,Latina,Private room in house,Private room,1.0,1.0,19.0,246,1,3,0.79,1.0
18981,48036571,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,60.0,349,0,2,0.0,1.0
18982,48037815,0,0,Timón,Barajas,Entire condominium,Entire home/apt,2.0,2.0,120.0,153,0,1,0.0,1.0
18983,48038833,0,1,San Diego,Puente de Vallecas,Shared room in apartment,Shared room,1.0,4.0,10.0,350,1,6,0.64,1.0
18986,48049631,0,1,Lista,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,62.0,249,0,8,0.0,1.0
18990,48050651,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,58.0,78,0,12,0.0,1.0
18991,48051101,0,1,Justicia,Centro,Entire apartment,Entire home/apt,2.0,4.0,143.0,315,4,163,2.03,2.0
18993,48056856,0,1,Trafalgar,Chamberí,Private room in apartment,Private room,3.0,3.0,13.0,365,0,8,0.0,1.0
18994,48061552,0,1,Universidad,Centro,Private room in house,Private room,1.0,1.0,15.0,169,0,3,0.0,1.5
18996,48063859,0,0,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,60.0,0,0,1,0.0,1.0
19000,48067986,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,3.0,135.0,88,0,1,0.0,1.5
19002,48079238,0,0,Campamento,Latina,Private room in apartment,Private room,1.0,2.0,30.0,365,0,1,0.0,1.5
19003,48079837,0,1,Cortes,Centro,Private room in apartment,Private room,1.0,1.0,25.0,123,0,1,0.0,1.0
