,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms,puntuacion_media
13760,39375677,0,0,Cuatro Caminos,Tetuán,Entire apartment,Entire home/apt,1.0,1.0,120.0,0,1,2,0.07,1.0,1.0
13761,39376307,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,3.0,56.0,41,43,88,2.43,1.0,4.4411764705882355
13763,39377736,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,56.0,195,12,1,0.71,1.0,4.875
13765,39382291,0,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,98.0,168,2,1,0.47,1.0,5.0
13766,39383351,1,1,San Fermín,Usera,Private room in apartment,Private room,1.0,1.0,31.0,30,9,1,0.51,1.0,5.0
13769,39388777,1,1,Argüelles,Moncloa - Aravaca,Entire loft,Entire home/apt,1.0,1.0,49.0,147,17,1,0.97,1.0,4.733333333333333
13770,39388959,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,62.0,104,6,5,0.36,1.0,5.0
13771,39389011,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,89.0,0,6,9,0.35,1.0,4.75
13772,39390706,0,1,Puerta del Angel,Latina,Entire apartment,Entire home/apt,1.0,4.0,60.0,104,23,2,1.27,1.0,4.6875
13774,39403092,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,100.0,364,1,1,0.06,2.5,5.0
13775,39403942,0,1,Cuatro Caminos,Tetuán,Private room in house,Private room,2.0,3.0,30.0,180,5,2,0.31,2.0,4.8
13776,39411627,0,1,Adelfas,Retiro,Entire apartment,Entire home/apt,2.0,3.0,38.0,321,58,38,3.21,2.0,4.354166666666667
13777,39412574,1,0,Cortes,Centro,Entire apartment,Entire home/apt,3.0,3.0,139.0,262,12,1,0.66,2.0,4.5
